step,epoch,param,layer,grad_norm
0,0,fc2.bias,fc2,0.09900187700986862
0,0,fc2.weight,fc2,0.19654937088489532
0,0,fc1.bias,fc1,0.050199396908283234
0,0,fc1.weight,fc1,0.5325993895530701
1,0,fc2.bias,fc2,0.06939195841550827
1,0,fc2.weight,fc2,0.18026697635650635
1,0,fc1.bias,fc1,0.04406801983714104
1,0,fc1.weight,fc1,0.5083573460578918
2,0,fc2.bias,fc2,0.10275983810424805
2,0,fc2.weight,fc2,0.21876120567321777
2,0,fc1.bias,fc1,0.05201473832130432
2,0,fc1.weight,fc1,0.5140973329544067
3,0,fc2.bias,fc2,0.07827380299568176
3,0,fc2.weight,fc2,0.2357519119977951
3,0,fc1.bias,fc1,0.052666157484054565
3,0,fc1.weight,fc1,0.552695631980896
4,0,fc2.bias,fc2,0.09258507192134857
4,0,fc2.weight,fc2,0.26474443078041077
4,0,fc1.bias,fc1,0.05497441068291664
4,0,fc1.weight,fc1,0.5525857210159302
5,0,fc2.bias,fc2,0.0668683797121048
5,0,fc2.weight,fc2,0.30440619587898254
5,0,fc1.bias,fc1,0.05580899491906166
5,0,fc1.weight,fc1,0.5526942610740662
6,0,fc2.bias,fc2,0.10815003514289856
6,0,fc2.weight,fc2,0.3236770033836365
6,0,fc1.bias,fc1,0.07060129195451736
6,0,fc1.weight,fc1,0.5822443962097168
7,0,fc2.bias,fc2,0.07891694456338882
7,0,fc2.weight,fc2,0.3770942687988281
7,0,fc1.bias,fc1,0.06472494453191757
7,0,fc1.weight,fc1,0.6008990406990051
8,0,fc2.bias,fc2,0.08367054909467697
8,0,fc2.weight,fc2,0.3804427683353424
8,0,fc1.bias,fc1,0.06229380890727043
8,0,fc1.weight,fc1,0.5617497563362122
9,0,fc2.bias,fc2,0.0849391371011734
9,0,fc2.weight,fc2,0.37855634093284607
9,0,fc1.bias,fc1,0.058978740125894547
9,0,fc1.weight,fc1,0.5277106761932373
10,0,fc2.bias,fc2,0.09465782344341278
10,0,fc2.weight,fc2,0.5072835683822632
10,0,fc1.bias,fc1,0.06520742177963257
10,0,fc1.weight,fc1,0.5762887001037598
11,0,fc2.bias,fc2,0.06761134415864944
11,0,fc2.weight,fc2,0.516620934009552
11,0,fc1.bias,fc1,0.052041660994291306
11,0,fc1.weight,fc1,0.5879645347595215
12,0,fc2.bias,fc2,0.09464751183986664
12,0,fc2.weight,fc2,0.538053035736084
12,0,fc1.bias,fc1,0.061638396233320236
12,0,fc1.weight,fc1,0.5838757157325745
13,0,fc2.bias,fc2,0.0556575171649456
13,0,fc2.weight,fc2,0.4898526072502136
13,0,fc1.bias,fc1,0.046653468161821365
13,0,fc1.weight,fc1,0.516421914100647
14,0,fc2.bias,fc2,0.0825214609503746
14,0,fc2.weight,fc2,0.5185979008674622
14,0,fc1.bias,fc1,0.051212336868047714
14,0,fc1.weight,fc1,0.5150587558746338
15,0,fc2.bias,fc2,0.07844889909029007
15,0,fc2.weight,fc2,0.6387413740158081
15,0,fc1.bias,fc1,0.05152847245335579
15,0,fc1.weight,fc1,0.5672684907913208
16,0,fc2.bias,fc2,0.08674554526805878
16,0,fc2.weight,fc2,0.6839666962623596
16,0,fc1.bias,fc1,0.05462570860981941
16,0,fc1.weight,fc1,0.5800144672393799
17,0,fc2.bias,fc2,0.055687304586172104
17,0,fc2.weight,fc2,0.5167284607887268
17,0,fc1.bias,fc1,0.044546086341142654
17,0,fc1.weight,fc1,0.4540529251098633
18,0,fc2.bias,fc2,0.10672034323215485
18,0,fc2.weight,fc2,0.6387966275215149
18,0,fc1.bias,fc1,0.0671580508351326
18,0,fc1.weight,fc1,0.5420801639556885
19,0,fc2.bias,fc2,0.08964844048023224
19,0,fc2.weight,fc2,0.6413781046867371
19,0,fc1.bias,fc1,0.052315399050712585
19,0,fc1.weight,fc1,0.5178638100624084
20,0,fc2.bias,fc2,0.07782668620347977
20,0,fc2.weight,fc2,0.5883108377456665
20,0,fc1.bias,fc1,0.05298876389861107
20,0,fc1.weight,fc1,0.48271793127059937
21,0,fc2.bias,fc2,0.09185013175010681
21,0,fc2.weight,fc2,0.6143041253089905
21,0,fc1.bias,fc1,0.055803071707487106
21,0,fc1.weight,fc1,0.47691506147384644
22,0,fc2.bias,fc2,0.0981823280453682
22,0,fc2.weight,fc2,0.7427857518196106
22,0,fc1.bias,fc1,0.06644639372825623
22,0,fc1.weight,fc1,0.5211434364318848
23,0,fc2.bias,fc2,0.07311858981847763
23,0,fc2.weight,fc2,0.6816236972808838
23,0,fc1.bias,fc1,0.05331680178642273
23,0,fc1.weight,fc1,0.4673934876918793
24,0,fc2.bias,fc2,0.07156671583652496
24,0,fc2.weight,fc2,0.5909732580184937
24,0,fc1.bias,fc1,0.05184011533856392
24,0,fc1.weight,fc1,0.4303523898124695
25,0,fc2.bias,fc2,0.07179082930088043
25,0,fc2.weight,fc2,0.6087238788604736
25,0,fc1.bias,fc1,0.04941169172525406
25,0,fc1.weight,fc1,0.42495620250701904
26,0,fc2.bias,fc2,0.052967723459005356
26,0,fc2.weight,fc2,0.5806871056556702
26,0,fc1.bias,fc1,0.044746045023202896
26,0,fc1.weight,fc1,0.4279654324054718
27,0,fc2.bias,fc2,0.06478516012430191
27,0,fc2.weight,fc2,0.5870345234870911
27,0,fc1.bias,fc1,0.045127201825380325
27,0,fc1.weight,fc1,0.40796130895614624
28,0,fc2.bias,fc2,0.07115483283996582
28,0,fc2.weight,fc2,0.6803734302520752
28,0,fc1.bias,fc1,0.045977674424648285
28,0,fc1.weight,fc1,0.4211789071559906
29,0,fc2.bias,fc2,0.06435046344995499
29,0,fc2.weight,fc2,0.6441944241523743
29,0,fc1.bias,fc1,0.04492107778787613
29,0,fc1.weight,fc1,0.4197637438774109
30,0,fc2.bias,fc2,0.057722996920347214
30,0,fc2.weight,fc2,0.7709165215492249
30,0,fc1.bias,fc1,0.043665848672389984
30,0,fc1.weight,fc1,0.46888336539268494
31,0,fc2.bias,fc2,0.0627909004688263
31,0,fc2.weight,fc2,0.5158292055130005
